순번,분류,상호명,대표자명,소재지,특화거리,영업시간,휴무일,좌석수,홈페이지,업체소개,주차정보,화장실정보,해당여부,,,,,,,,,,,,,,좌표,,대표음식 해당여부,,,,,,,,,,,,,주변분류,판매 메뉴
,,,,,,,,,,,,,무슬림친화,채식여부,안심식당,모범업소,장애인시설,외국어가능,조식가능,예약가능,유아시설,1인식사,포장가능,배달가능,와이파이사용,상품권사용,경도,위도,과메기,대게,등푸른막회,회/물회,백숙,산채비빔밥,삼겹살,생선구이,아구찜,장어,조개구이,치킨,해신탕,,
1459,한식,쌍사쭈꾸미,김진규,경북 포항시 남구 상대로 77-1 (상도동),,17:00~12:00,둘째넷째일요일,테이블 7개,,저희 쌍사쭈꾸미는 쭈꾸미 전문점입니다 싱싱한 쭈꾸미를 정성스럽게 조리하고있으며 기본반찬 하나하나 신경써서 조리하고있습니다 그리고 또다른별미로는 홍어회가 있으며 겨울철 메뉴인 백령도 자연산 생굴회가 으뜸입니다,,남녀공용,,,,,,,,,,,y,y,,y,129.355596,36.01546855,,,,,,,,,,,,,,,"쭈꾸미볶음, 쭈삼볶음, 닭도리탕, 돼지찌개, 묵은지찜.생선모듬구이, 뼈없는 닭발, 파전, "
1460,한정식,강화식당,박경숙,경북 포항시 남구 희망대로 879-4 (해도동),,11:00~20:00,매주일요일,테이블 8개,,"옛날간판 그대로 두고 장사를 하시며 19년 동안 운영해온 오래된 가게입니다
오래 된 만큼 자신있는 요리로만 장사합니다
국내산 재료로 신선한 음식을 만듭니다",,남녀구분,,,,,,,,y,,,,,y,y,129.369041,36.0122068,,,,,,,y,,,,,,,,"생삼겹살, 동태찌개, 김치찌개, 순두부찌개, "
1461,한식,신대천식당 도르카페,구현만,경북 포항시 남구 희망대로 879 (해도동),,10:00~21:00,연중무휴,테이블 18개,,"손님들에게 내어 주는 음식에 보양식까지 생각해 요리를 하십니다
밥을 먹고 난 후 디저트 또한 생각하시어 카페랑 같이 운영을 하고 계십니다
항상 손님들을 우선으로 생각하시는 사장님이십니다",3대,남녀공용,,,,,,,,,,,,y,y,y,129.36874,36.01179712,,,,,,,,,,,,,,,"한방수육, 흑염소수육, 한방보신탕, 삼계탕, 오리불고기, "
1462,한식,추자도,강병국,경북 포항시 남구 희망대로 875,,10:00~21:00,매주일요일,테이블 12개,,"물회 전문점이며 물회만 판매하는 곳입니다
물회를 시키면 매운탕은 서비스로 나옵니다 
항상 청결을 준수하며 넓은 주차장이 있어 주차도 편안하게 하실수 있습니다",15대 가능,남녀공용,,,,,,,,y,,y,y,,y,y,129.3682642,36.01185499,,,,y,,,,,,,,,,,"추자도특선물회, 추자도물회, 전복물회, 세꼬시물회, "
1463,한식,은희칼국수,김상국,경북 포항시 남구 중앙로158번길 38 (해도동),,11:00~17:00,매주일요일,테이블 7개,,"바지락으로 육수를 낸 수제비,칼국수를 드실수 있는 곳 입니다
저렴한 가격에 배불리 먹을수 있는 곳 입니다
밀가루 음식의 맛집 입니다",,남녀공용,,,,,,,,y,,,,,,y,129.3717161,36.02777654,,,,,,,,,,,,,,,"바지락수제비, 바지락 칼국수, 수제비, 비빔밥, "
1464,한식,간받이가 연탄불에,김선구,경북 포항시 남구 해동로 87 (해도동),,17:00~02:00,연중무휴,테이블 4개,,"연탄불에 구어 먹는 간받이 집 요즘 연탄불을 사용하는 음식점이 남아 있는 유일한 곳 입니다
70~80년대 추억을 떠 올릴수 있는 곳 입니다
20년 전통을 자랑합니다
",,남녀공용,,,,,,,,,,,,,,y,129.3721745,36.02714677,,,,,,,y,,,,,,,,"간받이, 생삼겹살, 항정살, 코다리구이, 차돌박이, "
1465,한식,대풍찜나라,이숙희,경북 포항시 남구 상공로221번길 39 (해도동),,11:30~22:00,매주일요일,테이블 11개,,"밑 반찬이 아주 잘 나와서 엄마가 해주는 맛인 곳입니다
 찜 요리로 아주 유명한 곳이며 콩나물의 식감이 아주 좋은 곳입니다
",,남녀구분,,,,,,,,,,y,y,y,,,129.3690274,36.02621108,,,,,,,,,y,,,,,,"아구수육, 아구찜, 아구탕, "
1466,한식,이대감,윤은수,경북 포항시 남구 상도로66번길 19 (상도동),,10:00~24:00,연중무휴,테이블 30개,,"이대감
저희 이대감은 돼지고기전문점입니다
질좋은 고기를 낮은 가격으로 드실수있는 곳입니다 소주 맥주를 한병당 100원에 드리고있으며 고기와 주류를 부담없이 마음껏 즐기세요",주차8대,남녀구분,,,,,,,,y,,y,,,,y,129.3569661,36.01381406,,,,,,,y,,,,,,,,"삼겹살.차돌배기.막창, 꽃갈비살, 돼지껍데기.대패삼겹살.고추장양념.곰장어, 수제돼지갈비, "
1467,한식,어장관리,양영덕,경북 포항시 남구 중섬로 85 (상도동),,17:00~12:00,둘째넷째일요일,테이블 26개,,"어장관리
해산물 전문점입니다  주메뉴는 조개구이이며 매일매일 조개를 받고있습니다 넓은 홀에 단체석완비되어있으며 계절 메뉴로 남해안 굴과 과메기가있습니다",공용주차장,남녀공용,,,,,,,,y,,y,,,,y,129.3537674,36.01212222,y,,,,,,,,,,y,,y,,"조개모듬구이2인, 조개모듬구이3인, 조개모듬구이4인, 가리비구이, 해물모듬, 맑은조개탕, 수육, 생굴찜.과메기, "
1468,횟집,동해안바다마을,김상원,"경북 포항시 남구 상대로 119 (대도동, 아이펠리스)",,17:00~12:00,연중무휴,테이블 7개,,"해산물전문점 입니다 
싱싱한 해산물이 가득하며 여러 술안주도 다양하게 있습니다 맛있는 음식은 물론 친절하고 청결하게 영업하겠습니다",,남녀공용,,,,,,,,,,,,,,y,129.3599519,36.01381262,,,,y,,,,,,,,,,,"생선모듬회, 해물모듬, 생선해물모듬, 생선무침회.단지물회, 통마리문어숙회, 고동무침.산낙지.해삼스모노, 해삼.멍게, 고래수육, 특물회, 전복죽, 물회.초밥, 복어.대구.아귀양념구이, 새우.장어구이, 새우.복어튀김, 아귀찜.복어찜, 해물찜.해물탕, 아귀탕.대구탕.복어탕, "
1469,한식,교동식당,백유현,경북 포항시 남구 포스코대로 324-8 (상도동),,11:00~21:00,연중무휴,테이블 7개,,"한식전문점이며 점심시간에 직장인들에게 아주 인기만점입니다
집밥처럼 따뜻하고 넉넉하며 든든하게 한끼 드실수 있습니다 내가족이 먹는다 생각하고 조리하겠습니다",,남녀공용,,,,,,,,,,y,y,y,,y,129.3585441,36.01817816,,,,,,,,y,y,,,,,,"된장찌개, 차돌된장찌개, 김치찌개.동태찌개, 제육정식, 소불백.한우소찌개, "
1470,한식,산들바다,박수정,경북 포항시 남구 중흥로172번길 26 (상도동),,09:00~23:00,매주일요일,테이블 8개,,"산들바다
저희 산들바다는 한정식 전문점이며
저렴한 가격에 다양하고 맛있는 정식을 드실수있습니다 미꾸라지추어탕은 그중 별미이며 기본반찬 한가지 한가지 맛있게 조리합니다",공용주차장,남녀구분,,,,,,,,,,,y,,,y,129.3579535,36.01806716,,,,,,y,,y,,,,,,,"집바정식, 미꾸라지추어탕, 자연산 생선구이정식, 갈치구이, 갈치찌개, 제육정식, "
1471,한식,충청도감자탕,이한숙,경북 포항시 남구 중흥로172번길 26-3 (상도동),,12:00~21:00,매주일요일,테이블 6개,,"총청도감자탕
저희는 한식전문점입니다
아침식사부터 저녁식사까지 가능하시며 메뉴하나하나 집밥처럼 정성스럽게 조리하고있습니다 따뜻하고 맛있는 엄마밥상 드시러오세요",,남녀공용,,,,,,,,,,,,,,y,129.3577653,36.01783597,,,,,,,,,y,,,,,,"된장찌개, 김치찌개.청국장.두부찌개, 돼지두루치기, 오징어두루치기, 동태찌개, 감자탕, 소곱창전골, "
1472,한식,서정식당,김순목,경북 포항시 남구 중앙로134번길 10,,11:00~20:00,연중무휴,테이블 7개,,"30년 전통으로 메인 메뉴 수육과 전골로 오래된 단골이 많은 집입니다
사장님의 정성 어린 손맛과 깃들어 밑반찬 또한 직접 해서 내어 드립니다
",,남녀공용,,,,,,,,y,,,,,,y,129.3691537,36.02513244,,,,,y,,,,,,,,y,,"수육, 전골, 보신탕, 소수육, "
1473,분식,응급실떡볶이,이현혜,경북 포항시 남구 중흥로152번길 26-2 (상도동),,11:00~23:00,연중무휴,테이블 1개,,"응급실 떡볶이
저희는 떡볶이 전문점입니다
전통떡볶이부터 퓨젼떡볶이까지 다양한 메뉴가있으며 맵기조절이가능해 아이부터 어른까지 전연령이 드실수있으며 모든 식재료를 청결하게 관리하고있습니다",,남녀구분,,,,,,,,y,,,y,y,y,,129.3563358,36.01641843,,,,,,,,,,,,,,,"응급실국물떡볶이, 응급실국물오뎅, 응급실 닭 볶음탕, 순대, 갈비만두, 치즈계란찜, 오뎅탕, 119주먹밥, 119날치알 주먹밥, 고로케, 모듬튀김, 오징어링.오뎅튀김, 잡채말이.치즈스틱.김말이, 야끼만두. 야채튀김, 새우튀김.밀크볼.감자넑적당면, 미니핫도그.오징어튀김, "
1474,한식,아웃도어키친,김형태,경북 포항시 남구 상공로 53 (상도동),,17:00~12:00,둘째넷째일요일,테이블 10개,,"아웃도어키친
저희아웃도어키친은 캠핑테마 고기집입니다
캠핑장을 연상케하는 감성인테리어로 고기맛에 감성을 더하였습니다 
분위기뿐만아니라 메뉴하나하나 정성을다해 음식맛도 일품 입니다
도심속에서 캠핑감성을 느껴보세요",주차3대,남녀구분,,,,,,,,y,,,,,y,y,129.3570393,36.01337627,,,,,,,y,,,,,,,,"s셋트, m셋트, l셋트, xl셋트, 두툼목살.두툼삼겹살, 대패새우꼬치.잔슨빌소세지, LA갈비, 양갈비, 대하구이, "
1475,한식,누리가,윤동원,경북 포항시 남구 상공로 72 (상도동),,11:30~21:00,매주일요일,테이블 12개,,"누리가
왕갈비탕전문점입니다
육질이 부드럽고 궁물에풍미가 깊습니다
기본반찬들도 갈비탕과 잘 어울려 맛을더합니다
 단체석완비에 친절한서비스로모시겠습니다",,남녀구분,,,,,,,,y,,y,,,,y,129.3583848,36.014451,,,,,,,,,,,,,,,"건강갈비탕, 소고기 터타국밥, 돌솥비빔밥, 소불고기버섯전골, 소갈비찜, 돼지짜박이, "
1476,한식,양떼들,이화,경북 포항시 남구 상공로 73 (상도동),,17:00~03:00,연중무휴,테이블 17개,,"양떼들
양고기전문점이며 양꼬치와 양갈비가 주메뉴이고 그외 훠궈 샤브샤브가 별미입니다 양고기의 특유의냄새를 저희만의 비법으로 잡았으며 포항1등 양갈비전문 식당임을 자부합니다",주차3대,남녀구분,,,,,,,,,,y,y,,y,y,129.3580776,36.01476275,,,,,,,,,,,,,,,"양갈비(대), 양갈비(중), 모듬꼬치, 소고기꼬치.새우꼬치, 염통꼬치.소세지꼬치.어묵꼬치, 마라롱샤, 마라상궈, 마라새우.향라대하, 꿔바로우, 건두부볶음, 마파두부, 유육단, 지삼선, 해물전골라면, "
1477,한식,장하다장,장경달,경북 포항시 남구 중흥로172번길 36 (상도동),,11:00~21:00,매주일요일,테이블 3개,,"간장게장 전문점으로 이외에도 새우장 전복장 문어장등 여러가지 해산물로만든 장들이있습니다 모든메뉴는 저희만의 비법으로 특유의비린내를잡고 게의진한맛까지 느끼실수있습니다
점심특선도가능하고 포장도가능합니다",,남녀공용,,,,,,,,y,,y,y,,y,y,129.3587564,36.01764726,,,,,,,,,,,,,,,"절단게장.깐새우장.연어장.명란장(대), 절단게장.깐새우장.연어장.명란장(중), 소라장.문어장., 절단게장.깐새우장.연어장.명란장(소), 전복장.대게 홍게장(대), 전복장.대게 홍게장(중), 전복장.대게 홍게장(소), 절단게장정식, 깐새우장정식.명란장정식.연어장 정식, 모듬장 정식, 고등어 조림, 대구가마리지, "
1478,한식,우마왕,김종수,경북 포항시 남구 포스코대로 318-6 (상도동),,08:00~21:00,매주화요일,테이블 15개,,"우마왕
갈비탕 전문점입니다 저희 우마왕은 일명 골프채갈비탕으로 갈비크기가 엄청크며 육질이 부드러워 포항에서 갈비탕으로 유명한집입니다 그외 한우물회가 별미이며 단체석 완비되어있어 회식장소로도 좋습니다 전메뉴 포장배달가능합니다",공용주차장,남녀구분,,,,,,,,y,,y,y,,y,y,129.3580438,36.01858823,,,,,,,,,,,,,,,"골프채갈비탕(보통), 골프채갈비탕(특), 갈비찜, 삼계갈비탕, 육회비빔밥, 한우물회, 한우육회, 갈비찜(소)+육회, 갈비찜(중)+육회, "
1479,한식,야인시대,김명선,경북 포항시 남구 상대로 79,,19:30~04:00,연중무휴,테이블 5개,,"야인시대
육회 및 해산물 전문점입니다 해산물을 신선하게 보관하기위해 수족관 관리를 철저하게 하고있으며 계절마다 제철음식들로 메뉴를 구성해 제철음식을 마음껏 맛보실수있습니다",,남녀공용,,,,,,,,,,y,,,y,y,129.3557264,36.01523533,y,,,,,,,y,,,,,,,"한우육회, 한우물회, 낙지탕탕육회, 고래육회, 육전, 굴전, 산문어.산낙지탕탕, 전복스모노, 전복구이, 해삼스모노, 멍게, "
1480,한식,강대박,김영숙,경북 포항시 남구 문예로 68 (대도동),,15:00~24:00,연중무휴,테이블 5개,,"닭요리 전문점입니다 옻닭 닭백숙은 예약하고 오시면 가능하시고 그외 다른메뉴는 바로 드실수있습니다 
닭도리탕이 인기메뉴이며 제육볶음도 맛이 일품입니다",,남녀공용,,,,,,,,y,,y,,,,y,129.364164,36.01343356,y,,,,y,,,,,,,,,,"닭도리탕, 제육볶음, 훈제오리, 뼈없는닭발, 돼지김치찌개.해물파전.두부김치, 계란찜.계란말이, 가자미구이, 꽁치구이.노가리.쥐포., "
1481,한식,참뭉태기,민남기,경북 포항시 남구 문예로 67 (대도동),,17:00~02:00,연중무휴,테이블 8개,,"참뭉태기
육회 뭉태기 전문점입니다 늘신선한 고기를 사용하고있습니다 신선한고기를 사용하기 때문에 주말에는 뭉태기를 드실수없습니다 보통 주중에 도축을 하기때문입니다 사이드로 나오는 기본 반찬 모두 직접만들고 있으며 맛있고 질좋은 음식을 만들기위해 항상 노력하고있습니다",,남녀공용,,,,,,,,y,,y,,,y,y,129.3638009,36.01355974,,,,,,,y,,,,,,,,"뭉태기, 뭉태기+육전,뭉태기+육회,육전+육회, 육회,육전, 모듬튀김.돈까스, 육회비빕밥, "
1482,일식,구가연어,김민영,경북 포항시 남구 문예로 67-2 (대도동),,17:00~02:00,매주일요일,테이블 8개,,"연어사시미 이자카야입니다 숙성연어를 사용하며 연어외에도 
여러 메뉴들이있으며 초밥 면류 탕류 다양하게 드실수있습니다 
좌식으로된 조용한룸도 있으며  내부도 청결하고 소소한  인테리어가 눈을즐겁게합니다
전메뉴 포장배달 가능합니다",,남녀구분,,,,,,,,,,y,y,y,y,y,129.3638412,36.01368076,,,,,,,,,,,,,,,"숙성연어사시미(소), 숙성연어사시미(중), 숙성연어사시미(대), 한우타다키, 꽃게오뎅나베, 왕새우튀김, 꼬치구이, 연어대가리구이, 매콤새우볶음우동, "
1483,한식,대진맛집,신명옥,경북 포항시 남구 중앙로146번길 6 (해도동),,11:00~18:00,매주일요일,테이블 4개,,"간단한 한끼 식사가 가능한곳이며 찌개종류를 전문으로 하는 집입니다
사장님의 서비스가 더해지며 양 또한 푸짐합니다
",,남녀공용,,,,,,,,y,,,,,,y,129.3685977,36.02614173,,,,,,,,,y,,,,,,"김치찌개, 된장찌개, 순두부, 돼지두루치기, 아구찜, "
1484,한식,시골뚝배기,강현숙,경북 포항시 남구 문예로 81 (대도동),,01:00~24:00,매주일요일,테이블 17개,,"시골뚝배기
뼈다귀해장국과 수육 전문점입니다 
24시간 영업을하고있어 언제든 오셔서 편하게 드실수있습니다 뼈다귀와 수육 모두 국내산을 사용하고있으며 손님들께서 안심하고 드실수있게 청결하게 조리하고있습니다 전메뉴 포장 가능하십니다",,남녀공용,,,,,,,y,y,,y,y,,y,y,129.3647093,36.0147524,,,,,,,,,,,,,,,"국내산 뼈해장국, 뼈찜, 콩나물해장국, 돼지국밥, 수육, 만두, 감자탕, 버섯감자탕, "
1485,한식,황지연못,박미정,경북 포항시 남구 문예로 80 (대도동),,15:00~23:30,연중무휴,테이블 6개,,"황지연못
아귀찜 전문점이며 일정한 맛을 유지하기위해 직접 재료를 구입하고 모든 음식을 혼자 조리하고있습니다 계절 메뉴로 과메기가 있으며  포장배달가능합니다",,남녀구분,,,,,,,,,,y,y,,,y,129.3650021,36.01435784,y,,,,,,,,y,,,,,,"아귀찜, 아구수육, 아구탕, 코다리찜.가자미구이.도로묵찌개, 닭볶음탕.국물돼지두루치기, 국물 떡볶이, 불낙전골, 먹태구이, 해물부추전, 계란말이, 과메기, "
1486,한식,흥해시래기찌개,이금자,경북 포항시 남구 문예로 50-1 (대도동),,10:00~23:30,매주일요일,테이블 15개,,"흥해 시래기찌개
저희업소는 단연 시래기찌개가 일품입니다 부드러운면서 구수한시래기가 아주맛이있습니다 삼겹살과 돼지갈비도있어 고기와 같이 드셔도 좋습니다 늘 친절하게 영업하겠습니다",,남녀공용,,,,,,,,y,,y,,,y,y,129.3640872,36.01220783,,,,,,y,,,,,,,,,"녹차생삼겹살, 대패삼겹살, 손만두, 시래기찌개, 돼지두루치기, 김치찌개, 오리두루치기, 정식-된장찌개, "
1487,한식,어성가메기매운탕,이태순,경북 포항시 남구 상대로 133-1 (대도동),,11:00~19:00,매주토.일요일,테이블 9개,,"어성가 메기 매운탕
매운탕 전문점입니다 안심식당 등록되어있으며 민물 매운탕의비린내를잡고 얼큰한맛일품 이며 버섯전골은 이집에 또다른 별미입니다
포장가능하시며 단체예약도 가능합니다",주차3대,남녀공용,,,y,,,,,y,,y,,,y,y,129.361168,36.01361145,,,,,,,,,,,,,,,"메기매운탕, 잡어매운탕, 참게.메기 매운탕, 뿌구리탕, 추어탕, 자연산 버섯전골, 미꾸라지 붕어튀김, "
1488,한식,대성토종순대,박수혜,경북 포항시 남구 상대로 135 (대도동),,09:00~22:00,매주일요일,테이블 15개,,"순대국이 일품인  맛집입니다
 순대국 뿐만아니라 10가지가넘는 메뉴 전부 맛이좋습니다 
단체석 완비되어있으며 룸도있어 조용하게 식사하실수도있습니다 음식외에도 청결에 늘 신경쓰고있습니다
",공용주차장,남녀구분,,,,,,,,y,,y,y,,y,y,129.3613674,36.01356697,,,,,,,y,,,,,,,,"토종순대국, 돼지국밥.내장국밥, 한우족탕.한우곰탕, 낙지볶음.홍어삼합, 생삼겹살, 돼지수육, 닭도리탕.두루치기, 시골돼지찌개, "
1489,한식,초당맷돌순두부,신병순,경북 포항시 남구 상대로 134 (대도동),,10:00~21:00,매주일요일,테이블 12개,,순부두전문점입니다 순부두외에도 여러 한식종류 많이 있으며 순두부는 몸에도 아주좋습니다 피부미용 항앙작용 그리고 다이어트에도 좋습니다 건강한맛 국내산 순두부 건강에좋습니다 일부메뉴 포장가능합니다,공용주차장,남녀공용,,,,,,,,y,,y,y,,y,y,129.3609676,36.01324689,,,,,y,,y,,,,,,,,"해물짬뽕순두부.해물순두부.굴순두부.김치순두부.맑은순두부, 된장찌개, 돌솥비빔밥, 비빔밥, 두부김치.두부전골, 두부짜글이.두부구이, 해물파전, 돼지두루치기, 돼지수육, 홍어삼합, 홍어만, "
1490,한식,청포동족발,김진광,경북 포항시 남구 상대로 124 (대도동),,15:00~12:30,매주월요일,테이블 5개,,"청포동족발
족발 전문점입니다 매일 직접삶아 정성 스럽게 만들고있습니다 쫄깃한 족발에 부드러운 보쌈 알싸한 냉체족발 모든메뉴가 맛이 좋습니다 격이다른 청포동족발 드시러오세요 친절하게 모시겠습니다",,남녀공용,,,,,,,,y,,y,y,y,y,y,129.3598991,36.01347317,,,,,,,y,,,,,,,,"족발 앞, 족발 뒤, 족발(앞+뒤), 족발.불족발, 족발.냉채족발, 족발.보쌈, 불족발, 냉채족발, 보쌈.냉채족발, 보쌈, 마늘족발.마늘보쌈, 모듬셋트, "
1491,한식,고향식당,임정순,경북 포항시 남구 중앙로146번길 6 (해도동),,10:00~22:00,매주일요일,테이블 12개,,"오픈 주방을 사용하여 깔끔하고 요리를 하는 모습을 볼 수 있습니다
청결을 항시 하고 있으시며 깔끔한 메뉴판에 쉽게 볼 수 있는 차림표에 음식을 시키기가 편합니다
사장님이 직접하신 반찬이며 푸짐한 한상의 한끼를 드실수 있는 곳입니다",,남녀구분,,,,,,,,y,,,,,y,y,129.3685977,36.02614173,,,,,,,y,,,,,,,,"정식 , 김치찌개, 된장찌개, 돼지갈비, 삼겹살, 돼지 찌개, "
1492,한식,오늘도뒷고기,윤숙이,경북 포항시 남구 상대로 116 (상도동),,16:00~23:00,연중무휴,테이블 7개,,"오늘도 뒷고기
뒷고기전문점입니다 엄선된 순수 암돼지를 사용하고있으며 모든 식재료 직접구매하고있어 믿고 드실수있습니다
맛있는 뒷고기 저렴하게 드셔보세요
저희 오늘도 뒷고기는
항상 친절하게 영업하겠습니다",,남녀구분,,,,,,,,y,,y,,,y,y,129.3590841,36.01360067,,,,,,,y,,,,,,,,"뒷고기, 특뒷고기.삼겹살, 짜글이, "
1493,한식,날으는저팔계,고다선,경북 포항시 남구 상대로 112 (상도동),,16:00~01:00,첫째셋째일요일,테이블 7개,,"날으는저팔계 
저희업소만의 노하우로 숙성삼겹살을 사용하고있으며 신선한고기와 신선한 야채 깔끔하고 맛있는 기본 반찬들 맛좋은 음식을 만들기위해 정성을 다하고있습니다",,남녀공용,,,,,,,,y,,y,,,y,y,129.3585793,36.0136907,,,,,,,y,,,,,,,,"숙성벌집삼겹.하얀돼지.빨간돼지.대패삼겹, 돼지껍데기, 돼지막창, 오삼불고기, "
1494,한식,소풍막창,김혜경,경북 포항시 남구 상대로 112-1 (상도동),,17:00~01:00,둘째넷째화요일,테이블 10개,,"소풍막창 
저희는 막창 전문점입니다 막창외에도 돼지고기 여러가지 부위도 있습니다
항상 청결하게 영업하고 있으며 기본반찬 하나하나 정성스럽게 조리하고 있습니다
고소한 막창 드시러오세요",,남녀구분,,,,,,,,y,,y,,,y,y,129.3587491,36.01362843,,,,,,,y,,,,,,,,"돼지막창,생삼겹살,갈매기살,가브리살, 차돌박이, 소막창, 항정살,양념갈매기살,양념가브리살, 대패삼겹살,돼지껍데기, "
1495,한식,삼촌돈카스&amp;도시락,문창주,경북 포항시 남구 중앙로146번길 5-10 (해도동),,11:00~20:30,매주일요일,,,"포장,배달을 하는 전문점 입니다 
도시락판매를 하는 곳입니다",,남녀공용,,,,,,,,,,,y,y,,y,129.3684516,36.02665971,,,,,,,,,,,,,,,"로스까스도시락, 히레까스도시락, 제육볶음도시락, 낙지볶음도시락, "
1496,한식,황제명태본가,이장호,경북 포항시 남구 상대로 104 (상도동),,10:00~22:00,매주일요일,테이블 23개,,"황제 명태본가 
저희업소는 명태전문점입니다 명태 조림과 명태탕이 주메뉴입니다 맵기조절이 가능하여 어린이부터 어른까지 전연령 모두 드실수있습니다
단체석 완비되어 있으며 주차장이 넓어 편안하게 식사를 즐기실수있습니다",전용주차장,남녀구분,,,,,,,,y,,y,y,,y,y,129.3579383,36.01366871,,,,,,,,y,,,,,,3대맛집,"매콤 명태조림, 소갈비찜, 싱글소갈비찜, 족발부추무침, 갈비탕,손만두 갈비탕, 어린이떡갈비, "
1497,한식,다인숯불촌,최월화,경북 포항시 남구 축항로 31 (해도동),,14:00~22:00,연중무휴,테이블 8개,,"돼지갈비 전문점이며 삼겹살까지 같이 판매를 합니다
숯불로 ",,남녀공용,,,,,,,,y,,,,,y,y,129.3720392,36.02922632,,,,,,,y,,,,,,,,"돼지갈비, 생삼겹살, 대패삼겹살, 항정살, 갈비살, "
1498,한식,한우소머리곰탕,노미식,경북 포항시 남구 상공로 245 (해도동),,11:30~22:00,연중무휴,테이블 5개,,"한우로 오래 끊인 육수로 만든 곰탕입니다
곱창과 수육을 같이 판매를 합니다
한끼 식사에 배불리 먹을수 있는 곳입니다",,남녀공용,,,,,,,,y,,,y,,y,y,129.3725199,36.02332343,,,,,,,,,,,,,,,"한우소머리곰탕, 한우수육, 소찌개, 돼지볶음, "
1499,중식,강가박가92,박명실,경북 포항시 남구 중앙로134번길 3 (해도동),,11:00~20:00,연중무휴,테이블 6개,,"중국 음식과 한국음식의 조화 면으로 만든 국수 전문점 입니다
사장님의 친절함이 더 해지며 저렴한 가격이 더욱 좋습니다
",,남녀공용,,,,,,,,y,,,,,y,y,129.3684866,36.02520627,,,,,,,,,,,,,,,"잔치국수, 칼국수, 수제비, 짬뽕국수, 참치국수, "
1500,한식,도깨비식당,김옥분,경북 포항시 남구 해동로 17,,08:00~18:00,연중무휴,테이블 4개,,"국수와 라면을 파는 전문집입니다
분위기는 80년대 분위기로 옛 추억을 느끼며 드실수 있는곳입니다",,남녀공용,,,,,,,,y,,,,,,y,129.3737455,36.02102867,,,,,,,,,,,,,,,
1501,한식,대영식당,강기태,경북 포항시 남구 중앙로134번길 39 (해도동),,10:00~22:00,"둘째,셋째 일요일",테이블 5개,,"정식집을 찾을려면 여기가 정답입니다 
찌개 , 구이 해산물까지 골고루 판매하는 곳입니다 
음식맛을 맛있게 내는 백령도산 까나리앳젓도 같이 판매를 하는 곳입니다",,남녀공용,,,,,,,,y,,y,y,,y,y,129.3723754,36.02583636,,,,y,,,,y,,,,,,,"돼지찌개, 아구찜, 고등어구이(정식), 백고동, 가자미구이, "
1502,한식,엄마손추어탕,이정복,경북 포항시 남구 양학천로 214 (해도동),,11:00~23:00,매주일요일,테이블 5개,,"추어탕 맛집 인정한 가게입니다
저렴한 가격에 해물전까지 드실수 있으며 요즘 인기 매뉴인 닭발 또한 판매하는 곳입니다
모든 시자재들은 국내산으로 사용하는 가게입니다",,남녀공용,,,,,,,,y,,,y,,y,y,129.3682211,36.02822442,,,,,,,,,,,,,,,"추어탕, 된장찌개, 닭발, 부추해물전, "
1503,한식,수경이식당,김남식,경북 포항시 남구 중앙로122번길 9 (해도동),,10:00~23:00,연중무휴,테이블 8개,,"요즘 트랜드인 혼밥이 가능한 식당이며 모리,옻닭,회는 예약주문으로 받고있는곳입니다
단골 손님들이 많으며 간단한 식사와 소주 한잔하기에 좋은 곳입니다
재료들은 국내산을 취급하는 곳 입니다",,남녀구분,,,,,,,,,,,y,,y,y,129.3694042,36.02421839,,,,y,y,,y,,,,,,,,"돼지짜글이, 돼지두루치기, 오징어볶음, 닭도리탕, 부대찌개, 만두전골, "
1504,한식,해도돈식당,박경애,경북 포항시 남구 중앙로122번길 11 (해도동),,10:00~22:00,매주일요일,테이블 5개,,"사장님의 친절함이 있는 가게 온기가 느껴지는 가게입니다
식재료들은 매일 장을 보고 장만해 놓으시며 한번 드간 반찬은 재활용을 하지 않습니다
국내산 자료들로만 하는 가게입니다",,남녀공용,,,,,,,,y,,,,,,y,129.3695425,36.02426593,,,,,,,y,y,y,,,,,,"칼치찌개, 코다리찜, 가자미(구이), 미주구리(찌개), "
1505,한식,고향식당,백영운,경북 포항시 남구 중앙로122번길 13 (해도동),,10:00~21:00,매주일요일,테이블 5개,,"국내산재료들로 만드는 음식점입니다
포항에서 가장 저렴한 가격으로 맛은 최고입니다
정직한 가게이며 손님들에게 가족에게 내는 음식처럼 내어드립니다",,남녀공용,,,,,,,,y,,,,,,y,129.3700022,36.02433154,,,,,,,,y,,,,,,,"두루치기, 고등어구이, 꽃게탕, 도루묵찌개, "
1506,한식,뱃머리숯불갈비,함지윤,경북 포항시 남구 희망대로 739 (상도동),,10:00~22:00,매주일요일,테이블 20개,,"뱃머리숯불갈비
돼지갈비전문점이며 안심식당 등록업체입니다 모든식재료 엄선해서 쓰고있으며 정직하게 영업합니다 점심특선으로 전복갈비탕이 인기이며 
고기류포장가능합니다
단체석완비에 예약주시면친절히모시겠습니다",,남녀구분,,,y,,,,,y,,y,y,,y,y,129.3539646,36.00930463,,,,,,,y,,,,,,,,"돼지갈비, 삼겹살, 갈비살, 안창살, 한방수육, 오리로스.오리불고기.오리백숙, 황제탕, 김치묵은지, 갈비탕, 전갈탕, 돼지갈비정식, 옛날불고기정식, "
