연번,업소명,소재지,위도,경도,지역,지정등급,지정번호,지정일자
277,오늘도괜찮아,부산광역시 동래구 명장로22번길 1(1층 명장동),35.20521964,129.1033529,매우우수,HG200000397,부산광역시 동래구,2020-02-04
278,엔제리너스 해운대백병원점,"부산광역시 해운대구 해운대로 875(1층 좌동, 인제대학교 해운대백병원)",35.17326019,129.1821691,매우우수,HG200000399,부산광역시 해운대구,2020-02-04
279,카페파스쿠찌 남산점,"부산광역시 금정구 금샘로 351(2,3층 구서동)",35.25455964,129.0845937,매우우수,HG200000400,부산광역시 금정구,2020-02-04
280,카페Ri(카페리),부산광역시 동래구 동래로79번길 11(1층 명륜동),35.20885171,129.0814587,좋음,HG200000447,부산광역시 동래구,2020-02-13
281,파리바게뜨 영도대교점,부산광역시 영도구 태종로 99(대교동2가),35.09160443,129.0417304,우수,HG200000511,부산광역시 영도구,2020-02-17
282,에버그린돈까스다대점,부산광역시 사하구 다송로84번길 50(102호 다대동),35.05988,128.981766,우수,HG200000514,부산광역시 사하구,2020-02-17
283,파리바게뜨,부산광역시 사하구 낙동남로 1411(하단동),35.10648323,128.9660473,매우우수,HG200000518,부산광역시 사하구,2020-02-17
284,두끼 센텀시티 홈플러스점,부산광역시 해운대구 센텀동로 6(홈플러스 센텀시티점 2층 우동),35.17091188,129.1336915,우수,HG200000527,부산광역시 해운대구,2020-02-18
285,HI4(하이4),"부산광역시 동래구 사직북로47번길 31(지하1층,지상1층 사직동)",35.19831013,129.0595539,우수,HG200000528,부산광역시 동래구,2020-02-20
286,이디야,부산광역시 동래구 온천장로 87(1층 온천동),35.21906362,129.0825499,매우우수,HG200000529,부산광역시 동래구,2020-02-20
287,마비스커피,"부산광역시 북구 만덕대로 42(1,2층 덕천동)",35.21095088,129.0096577,매우우수,HG200000530,부산광역시 북구,2020-02-20
288,행복을 짓는 수향촌밥상,부산광역시 수영구 감포로 82(민락동),35.16586854,129.1186929,매우우수,HG200000545,부산광역시 수영구,2020-02-20
289,도림,"부산광역시 부산진구 가야대로 772(지상41층 부전동, 부산롯데호텔)",35.15679253,129.0564133,매우우수,HG200000598,부산광역시 부산진구,2020-02-25
290,아비꼬 롯데백화점부산본점,부산광역시 부산진구 가야대로 772(9층 부전동),35.15679253,129.0564133,매우우수,HG200000616,부산광역시 부산진구,2020-02-27
291,크리스탈제이드 서면점,부산광역시 부산진구 가야대로 772(롯데백화점부산본점 9층 부전동),35.15679253,129.0564133,매우우수,HG200000617,부산광역시 부산진구,2020-02-27
292,구운몽,"부산광역시 부산진구 가야대로 772(지하1층 부전동, 롯데백화점)",35.15679253,129.0564133,우수,HG200000618,부산광역시 부산진구,2020-02-27
293,정관장카페 사푼사푼 롯데부산본점,"부산광역시 부산진구 가야대로 772(지하2층 부전동, 롯데백화점 부산본점)",35.15679253,129.0564133,매우우수,HG200000619,부산광역시 부산진구,2020-02-27
294,강산면옥부산지점,부산광역시 부산진구 가야대로 772(9층 부전동),35.15679253,129.0564133,매우우수,HG200000621,부산광역시 부산진구,2020-02-27
295,차이797롯데부산본점,부산광역시 부산진구 가야대로 772(지하1층 부전동),35.15679253,129.0564133,우수,HG200000634,부산광역시 부산진구,2020-02-27
296,집밥이좋다,"부산광역시 부산진구 가야대로 772(지하1층 부전동, 롯데백화점부산본점)",35.15679253,129.0564133,매우우수,HG200000635,부산광역시 부산진구,2020-02-27
297,원가회관롯데부산점,부산광역시 부산진구 가야대로 772(지하2층 부전동),35.15679253,129.0564133,매우우수,HG200000636,부산광역시 부산진구,2020-02-27
298,아모제푸드(주) 카페아모제 부산서면점,"부산광역시 부산진구 가야대로 772(지하2층 부전동, 롯데백화점 부산본점)",35.15679253,129.0564133,우수,HG200000638,부산광역시 부산진구,2020-02-27
299,크리스피크림롯데백부산점,"부산광역시 부산진구 가야대로 772(지상9층 부전동, 롯데백화점부산본점)",35.15679253,129.0564133,매우우수,HG200000650,부산광역시 부산진구,2020-02-27
300,삼송빵집롯데백화점서면점,"부산광역시 부산진구 가야대로 772(지하1층 부전동, 롯데백화점)",35.15679253,129.0564133,매우우수,HG200000653,부산광역시 부산진구,2020-02-27
301,베이크,"부산광역시 부산진구 가야대로 772(지하1층 부전동, 롯데백화점)",35.15679253,129.0564133,매우우수,HG200000654,부산광역시 부산진구,2020-02-27
302,치면식당,부산광역시 부산진구 가야대로 772(롯데백화점부산본점 지하2층 부전동),35.15679253,129.0564133,매우우수,HG200000655,부산광역시 부산진구,2020-02-27
303,브라운핸즈 부산서면본점,"부산광역시 부산진구 가야대로 772(9층 부전동, 롯데백화점)",35.15679253,129.0564133,매우우수,HG200000656,부산광역시 부산진구,2020-02-27
304,히바린롯데부산본점,부산광역시 부산진구 가야대로 772(지하1층 부전동),35.15679253,129.0564133,매우우수,HG200000666,부산광역시 부산진구,2020-02-27
305,(주)겐츠베이커리롯데백화점서면점,"부산광역시 부산진구 가야대로 772(지하1층 부전동, 롯데백화점)",35.15679253,129.0564133,매우우수,HG200000668,부산광역시 부산진구,2020-02-27
306,가홍치킨,부산광역시 부산진구 가야대로 772(롯데백화점 지하2층 부전동),35.15679253,129.0564133,매우우수,HG200000669,부산광역시 부산진구,2020-02-27
307,폴바셋롯데백화점부산본점,"부산광역시 부산진구 가야대로 772(지하2층 부전동, 롯데백화점)",35.15679253,129.0564133,매우우수,HG200000670,부산광역시 부산진구,2020-02-27
308,(주)주시브로스,"부산광역시 부산진구 가야대로 772(지하2층 부전동, 롯데백화점 부산본점)",35.15679253,129.0564133,매우우수,HG200000671,부산광역시 부산진구,2020-02-27
309,옵스,"부산광역시 부산진구 가야대로 772(지하1층 부전동, 롯데백화점)",35.15679253,129.0564133,매우우수,HG200000676,부산광역시 부산진구,2020-02-27
310,롯데푸드(주)롯데백화점부산점커피,"부산광역시 부산진구 가야대로 772(지하2층 부전동, 롯데백화점)",35.15679253,129.0564133,매우우수,HG200000677,부산광역시 부산진구,2020-02-27
311,전광수커피하우스 롯데서면점,"부산광역시 부산진구 가야대로 772(지하1층 부전동, 롯데백화점본점)",35.15679253,129.0564133,매우우수,HG200000679,부산광역시 부산진구,2020-02-27
312,파리바게뜨거제월드점,부산광역시 연제구 거제천로 246(연산동),35.19196571,129.083815,우수,HG200000699,부산광역시 연제구,2020-03-04
313,엔제리너스커피 김해공항,"부산광역시 강서구 공항진입로 108(2층 대저2동, 김해공항국내선 격리대합실)",35.17271673,128.9457317,매우우수,HG200000721,부산광역시 강서구,2020-03-04
314,엔제리너스 김해공항국제선,"부산광역시 강서구 공항진입로 108(대저2동, 김해공항 국제선격리)",35.17271673,128.9457317,매우우수,HG200000735,부산광역시 강서구,2020-03-04
315,김해공항스카이허브라운지,부산광역시 강서구 공항진입로 108(국제선 격리 2층 대저2동),35.17271673,128.9457317,매우우수,HG200000743,부산광역시 강서구,2020-03-04
316,스카이31푸드에비뉴 김해공항점,부산광역시 강서구 공항진입로 108(김해국제공항국제선터미널 3층 대저2동),35.17271673,128.9457317,매우우수,HG200000753,부산광역시 강서구,2020-03-04
317,할리스커피클럽 부산서면본점,"부산광역시 부산진구 동천로 73(1층 부전동, 지상1층 일부 및 지상2층)",35.1552284,129.0621003,매우우수,HG200000933,부산광역시 부산진구,2020-03-25
318,스시,부산광역시 동래구 충렬대로 197(명륜동),35.20454596,129.081138,매우우수,HG200000966,부산광역시 동래구,2020-03-25
319,파리바게뜨(구서역점),"부산광역시 금정구 구서로 9(구서동,1층)",35.24646377,129.0897708,매우우수,HG200000974,부산광역시 금정구,2020-03-25
320,한국맥도날드(유)부산구서DT점,부산광역시 금정구 중앙대로 1957(구서동),35.25896384,129.0909934,매우우수,HG200000979,부산광역시 금정구,2020-03-25
321,신창국밥,부산광역시 수영구 남천동로24번길 42(1층 남천동),35.14050065,129.110192,우수,HG200000992,부산광역시 수영구,2020-03-25
322,이디야 아시아드점,부산광역시 연제구 종합운동장로 28(1층 거제동),35.19309028,129.0647786,매우우수,HG200001014,부산광역시 연제구,2020-03-26
323,이디야 종합운동장역점,부산광역시 연제구 아시아드대로82번길 5(1층 거제동),35.19206275,129.0678397,매우우수,HG200001031,부산광역시 연제구,2020-03-26
324,이디야 거제홈타운점,부산광역시 연제구 법원북로 45(1층 거제동),35.19423544,129.0718762,매우우수,HG200001035,부산광역시 연제구,2020-03-26
325,이디야,부산광역시 연제구 법원로32번길 9(거제동),35.19156838,129.0748058,매우우수,HG200001037,부산광역시 연제구,2020-03-26
326,롯데리아 롯데광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 아쿠아몰동 지하1층 중앙동7가),35.09830894,129.0367048,매우우수,HG200001040,부산광역시 중구,2020-03-27
327,이디야 부산효림초교점,부산광역시 사하구 장평로 107(1층 장림동),35.07566479,128.9727009,매우우수,HG200001048,부산광역시 사하구,2020-03-27
